HIST,161,Themes in World Civilization I,3.00,,,TERMS-OFFERED,0
HIST,201,United States History to 1815,3.00,,,TERMS-OFFERED,0
HIST,202,"United States History, 1815-1900",3.00,,,TERMS-OFFERED,0
HIST,220,History of American Business,3.00,,,TERMS-OFFERED,0
HIST,238,The Vietnam War,3.00,,,TERMS-OFFERED,0
HIST,267,Twentieth Century World I,3.00,,,TERMS-OFFERED,0
HIST,274,Conquest of Mexico,3.00,,,TERMS-OFFERED,0
HIST,276,The History of Philadelphia,3.00,,,TERMS-OFFERED,0
HIST,285,Technology in Historical Perspective,3.00,,,TERMS-OFFERED,0
HIST,162,Themes in World Civilization II,3.00,,,TERMS-OFFERED,0
HIST,203,United States History since 1900,3.00,,,TERMS-OFFERED,0
HIST,235,"The Great War, 1914-1918",3.00,,,TERMS-OFFERED,0
HIST,249,Modern Jewish History,3.00,,,TERMS-OFFERED,0
HIST,270,Introduction to Latin American History,3.00,,,TERMS-OFFERED,0
