CS,161,Introduction to Computing,3.00,,EXAM080,TERMS-OFFERED,0
CS,172,Computer Programming II,3.00,CS171 or CS132,EXAM080,TERMS-OFFERED,0
CS,260,Data Structures,3.00,CS265,,TERMS-OFFERED,0
CS,275,Web and Mobile App Development,3.00,CS265,,TERMS-OFFERED,0
CS,283,Systems Programming,3.00,CS265,,TERMS-OFFERED,0
CS,345,Computer Game Design and Development,3.00,DIGM260 or GMAP260 and CS265 or DIGM141,,TERMS-OFFERED,0
CS,360,Programming Language Concepts,3.00,CS260 and CS265 and CS270,,TERMS-OFFERED,0
CS,370,Operating Systems,3.00,CS283 or CS361,,TERMS-OFFERED,0
CS,485,ST: Artificial Intelligence,3.00,CS260 and CS380,,TERMS-OFFERED,0
CS,500,Database Theory,3.00,,,TERMS-OFFERED,0
CS,680,ST:Software Engineering,12.00,,,TERMS-OFFERED,0
CS,997,Research in Computer Science,1.00 to 12.00,,,TERMS-OFFERED,0
CS,338,Graphical User Interfaces,3.00,CS350 or SE310,,TERMS-OFFERED,0
CS,365,System Administration,3.00,CS260 and CS265,,TERMS-OFFERED,0
CS,451,Software Engineering,3.00,CS270 and MATH221 and CS350 or SE310,,TERMS-OFFERED,0
CS,520,Computer Science Foundations,3.00,,,TERMS-OFFERED,0
