ANTH,101,Introduction to Cultural Diversity,3.00,,,TERMS-OFFERED,0
ANTH,110,Human Past:  Anthropology and Prehistoric Archeology,3.00,,,TERMS-OFFERED,0
ANTH,120,Biblical Archaeology: The Archaeology of Israel and Jordan,3.00,,,TERMS-OFFERED,0
ANTH,212,Native American Culture,3.00,,,TERMS-OFFERED,0
ANTH,250,Anthropology of Immigration,3.00,,,TERMS-OFFERED,0
ANTH,360,Culture and the Environment,3.00,,,TERMS-OFFERED,0
ANTH,380,ST:Writing for Work Identity,3.00,,,TERMS-OFFERED,0
ANTH,210,"Worldview: Science, Religion and Magic",3.00,,,TERMS-OFFERED,0
ANTH,255,Psychological Anthropology,3.00,,,TERMS-OFFERED,0
ANTH,363,Sacred Traditions of the East,3.00,,,TERMS-OFFERED,0
