MEM,201,Foundations of Computer Aided Design,3.00,,,TERMS-OFFERED,0
MEM,202,Statics,3.00,PHYS185 or PHYS101,,TERMS-OFFERED,0
MEM,230,Mechanics of Materials I,4.00,MEM202,,TERMS-OFFERED,0
MEM,255,Introduction to Controls,4.00,MEM238 and MATH201 or MATH261 or ENGR231 and MATH210 or MATH262 or ENGR232,,TERMS-OFFERED,0
MEM,310,Thermodynamic Analysis I,4.00,ENGR210 or MEM210,,TERMS-OFFERED,0
MEM,311,Thermal  Fluid Science Laboratory,2.00,MEM220 and MEM310,,TERMS-OFFERED,0
MEM,333,Mechanical Behavior of Materials,3.00,MEM230,,TERMS-OFFERED,0
MEM,345,Heat Transfer,4.00,ENGR210 and MEM220 or CIVE320 and MATH210 or MATH262 or ENGR232,,TERMS-OFFERED,0
MEM,355,Performance Enhancement of Dynamic Systems,4.00,MEM255,,TERMS-OFFERED,0
MEM,371,Introduction to Nuclear Engineering I,2.00,PHYS201 and ENGR210 or CHE206,,TERMS-OFFERED,0
MEM,395,Hess Undergraduate Scholars Research,0.50 to 3.00,MEM310,,TERMS-OFFERED,0
MEM,402,Power Plant Design,3.00,MEM310,,TERMS-OFFERED,0
MEM,417,Introduction to Microfabrication,3.00,,,TERMS-OFFERED,0
MEM,425,Aircraft Design & Performance,3.00,,,TERMS-OFFERED,0
MEM,427,Finite Element Methods,3.00,MEM230,,TERMS-OFFERED,0
MEM,435,Introduction to Computer-Aided Design and Manufacturing,4.00,MEM201,,TERMS-OFFERED,0
MEM,437,Manufacturing Process I,3.00,MEM220 and MEM230,,TERMS-OFFERED,0
MEM,462,Intro Engr Management,3.00,,,TERMS-OFFERED,0
MEM,491,Senior Design Project I,3.00,MEM230 and MEM238 and MEM355 and MEM345,,TERMS-OFFERED,0
MEM,591,Applied Engr Analy Methods I,3.00,,,TERMS-OFFERED,0
MEM,611,Conduction Heat Transfer,3.00,,,TERMS-OFFERED,0
MEM,621,Foundations of Fluid Mechanics,3.00,,,TERMS-OFFERED,0
MEM,636,Theory of Nonlinear Control I,3.00,,,TERMS-OFFERED,0
MEM,666,Advanced Dynamics I,3.00,,,TERMS-OFFERED,0
MEM,681,Finite Element Methods I,3.00,,,TERMS-OFFERED,0
MEM,699,Azobenzene Materials,0.50 to 9.00,,,TERMS-OFFERED,0
MEM,898,Master's Thesis,1.00 to 20.00,,,TERMS-OFFERED,0
MEM,998,Ph.D. Dissertation,1.00 to 12.00,,,TERMS-OFFERED,0
MEM,380,ST:Open-wheeled Vehicle Design,12.00,,,TERMS-OFFERED,0
MEM,413,HVAC Loads,3.00,MEM345 and MEM310 or AE220,,TERMS-OFFERED,0
MEM,423,Mechanics of Vibration,4.00,MEM238 and TDEC222 or ENGR232 or MATH210 or MATH262,,TERMS-OFFERED,0
MEM,431,Machine Design I,3.00,MEM202 and MEM230 and MEM238,,TERMS-OFFERED,0
MEM,458,Micro-Based Control Systems I,3.00,MEM355,,TERMS-OFFERED,0
MEM,517,Fundamentals of Nanomanufacturing,3.00,MEM417 and ENGR201 and ENGR202 or PHYS201,,TERMS-OFFERED,0
MEM,601,Statistical Thermodynamics I,3.00,,,TERMS-OFFERED,0
MEM,617,Introduction to Microfabrication,3.00,,,TERMS-OFFERED,0
MEM,633,Robust Control Systems I,3.00,,,TERMS-OFFERED,0
MEM,663,Continuum Mechanics,3.00,,,TERMS-OFFERED,0
MEM,678,Nondestructive Evaluation Methods,3.00,,,TERMS-OFFERED,0
MEM,687,Manufacturing Processes I,3.00,,,TERMS-OFFERED,0
MEM,800,ST:Modern Power Plants,0.50 to 9.00,,,TERMS-OFFERED,0
