CHE,201,Process Material Balances,3.00,TDEC121 or CHEM102 or CHEM162,,TERMS-OFFERED,0
CHE,301,Process Thermodynamics,3.00,ENGR210 or CHE206 and CHE201 and CHE202,,TERMS-OFFERED,0
CHE,305,Process Separations,4.00,CHE301 and CHE201 and CHE202,,TERMS-OFFERED,0
CHE,333,Chemical Engineering Laboratory II,2.00,CHE303,,TERMS-OFFERED,0
CHE,399,Solar Cells Research,1.00 to 12.00,,,TERMS-OFFERED,0
CHE,424,Chemical Kinetics and Reactor Design,4.00,CHE304 and CHE201 and CHE202,,TERMS-OFFERED,0
CHE,481,Process Design I,3.00,CHE304 and CHE308,CHE424,TERMS-OFFERED,0
CHE,502,Mathematical Methods in Chemical Engineering,3.00,,,TERMS-OFFERED,0
CHE,898,Master's Thesis,9.00,,,TERMS-OFFERED,0
CHE,307,Process Modeling I,4.00,CHE201 and CHE202,,TERMS-OFFERED,0
CHE,420,Process Systems Engineering,3.00,CHE201 and CHE202 and CHE303,,TERMS-OFFERED,0
CHE,513,Chemical Engineering Thermodynamics,3.00,,,TERMS-OFFERED,0
CHE,998,Ph.D. Dissertation,1.00 to 9.00,,,TERMS-OFFERED,0
