ECEP,354,Energy Management Principles,4.00,ECE201 or ECES211 and ECEE302,,TERMS-OFFERED,0
ECEP,371,Introduction to Nuclear Engineering,2.00,PHYS201 and ENGR210 or CHE206,,TERMS-OFFERED,0
ECEP,402,Theory of Nuclear Reactors,4.00,ENGR210,,TERMS-OFFERED,0
ECEP,411,Power Systems I,3.00,ECEP352,,TERMS-OFFERED,0
ECEP,501,Power System Analysis,3.00,,,TERMS-OFFERED,0
ECEP,601,Modeling & Analysis of Power Distribution Systems,3.00,,ECEP501,TERMS-OFFERED,0
ECEP,380,Introduction to Renewable Energy,3.00,MATH122 and PHYS102 or PHYS115 or PHYS154,,TERMS-OFFERED,0
ECEP,421,Modeling and Analysis of Electric Power Distribution Systems,3.00,,ECEP411,TERMS-OFFERED,0
