OPR,320,Linear Models for Decision Making,4.00,MATH102 or MATH123,,TERMS-OFFERED,0
OPR,601,Managerial Decision Models and Simulation,3.00,STAT601,,TERMS-OFFERED,0
OPR,922,Operations Research Methods I,3.00,,,TERMS-OFFERED,0
OPR,330,Advanced Decision Making and Simulation,4.00,OPR320,,TERMS-OFFERED,0
