ANTH,101,Introduction to Cultural Diversity,3.00,,,TERMS-OFFERED,0
ANTH,110,Human Past:  Anthropology and Prehistoric Archeology,3.00,,,TERMS-OFFERED,0
ANTH,T180,ST: Intro Biological Anthro,12.00,,,TERMS-OFFERED,0
ANTH,210,"Worldview: Science, Religion and Magic",3.00,,,TERMS-OFFERED,0
ANTH,212,Jewish Cultural Tapestry,3.00,,,TERMS-OFFERED,0
ANTH,310,Societies In Transition: The Impact of Modernization and the Third World,3.00,,,TERMS-OFFERED,0
ANTH,365,Family and Kinship,3.00,,,TERMS-OFFERED,0
ANTH,T280,ST:Anthropology of Food,12.00,,,TERMS-OFFERED,0
ANTH,330,Media Anthropology,3.00,,,TERMS-OFFERED,0
ANTH,T480,ST:Community Engagement,12.00,,,TERMS-OFFERED,0
