ECE,200,Digital Logic Design,3.00,CS170 or TDEC132 or CS171 or ENGR103 or ENGR104,,TERMS-OFFERED,0
ECE,201,Foundations of Electric Circuits,3.00,PHYS211 or TDEC115 or PHYS281 or PHYS102,,TERMS-OFFERED,0
ECE,361,Probability for Engineers,3.00,ENGR202 and ENGR231 or MATH261,,TERMS-OFFERED,0
ECE,391,Introduction to Engineering Design Methods,1.00,,,TERMS-OFFERED,0
ECE,493,Senior Design Project III,4.00,ECE492,,TERMS-OFFERED,0
ECE,997,Dissertation Research,1.00 to 12.00,,,TERMS-OFFERED,0
ECE,998,Ph.D. Dissertation,1.00 to 12.00,,,TERMS-OFFERED,0
ECE,203,Programming for Engineers,3.00,,,TERMS-OFFERED,0
