EAM,200,Introduction to the Music Industry,3.00,,,TERMS-OFFERED,0
EAM,211,Strategic Management for Entertainment and Arts Management,3.00,,,TERMS-OFFERED,0
EAM,340,Artist Representation and Management,3.00,,,TERMS-OFFERED,0
EAM,361,Law for Entertainment and Arts Management Managers,3.00,EAM261,,TERMS-OFFERED,0
EAM,491,Entertainment and Arts Management Senior Project,1.00,,,TERMS-OFFERED,0
EAM,313,Volunteer and Board Management,3.00,EAM312,,TERMS-OFFERED,0
EAM,350,"Arts, Culture and Society",3.00,,,TERMS-OFFERED,0
EAM,T380,ST:Producing Live Entertainment,12.00,,,TERMS-OFFERED,0
