PHYS,101,Fundamentals of Physics I,4.00,MATH121 or MATHT187 PHYS100,EXAM080,TERMS-OFFERED,0
PHYS,102,Fundamentals of Physics II,4.00,PHYS101,EXAM080,TERMS-OFFERED,0
PHYS,131,Survey of the Universe,3.00,,,TERMS-OFFERED,0
PHYS,135,How Things Work,4.00,,,TERMS-OFFERED,0
PHYS,153,Introductory Physics II,4.00,PHYS152 or PHYS101,EXAM081,TERMS-OFFERED,0
PHYS,185,Fundamentals of Physics Lecture I,3.00,MATH121,,TERMS-OFFERED,0
PHYS,188,Physics II-A,1.00,PHYS189,,TERMS-OFFERED,0
PHYS,201,Fundamentals of Physics III,4.00,PHYS102,EXAM081,TERMS-OFFERED,0
PHYS,280,Fundamentals of Physics Lecture III,3.00,PHYS102,,TERMS-OFFERED,0
PHYS,997,Research,1.00 to 12.00,,,TERMS-OFFERED,0
PHYS,151,Applied Physics,3.00,,EXAM081,TERMS-OFFERED,0
PHYS,186,Physics I-A,1.00,PHYS185,,TERMS-OFFERED,0
PHYS,282,Fundamentals of Physics Laboratory III,1.00,PHYS280,,TERMS-OFFERED,0
PHYS,998,Ph.D. Dissertation,1.00 to 12.00,,,TERMS-OFFERED,0
