TVPR,100,TV Studio: Basic Operations,3.00,,,TERMS-OFFERED,0
TVPR,221,TV News Production,3.00,FMVD110,,TERMS-OFFERED,0
TVPR,355,TV Drama Series II,0.50 to 6.00,FMVD110 and FMVD115 and FMVD120,,TERMS-OFFERED,0
TVPR,I399,DNews Post,0.50 to 12.00,,,TERMS-OFFERED,0
TVPR,240,Producing for Television,3.00,,,TERMS-OFFERED,0
TVPR,356,DNews,0.50 to 6.00,,,TERMS-OFFERED,0
TVPR,496,Senior Project: TV Production II,3.00,,,TERMS-OFFERED,0
