PSCI,100,Introduction to Political Science,4.00,,,TERMS-OFFERED,0
PSCI,110,American Government I,4.00,,,TERMS-OFFERED,0
PSCI,120,History of Political Thought,4.00,,,TERMS-OFFERED,0
PSCI,200,The Public Policy Process,4.00,,,TERMS-OFFERED,0
PSCI,229,Theories of Justice,4.00,,,TERMS-OFFERED,0
PSCI,252,Global Governance,4.00,PSCI150 or PSCI140,,TERMS-OFFERED,0
PSCI,353,International Human Rights,4.00,,,TERMS-OFFERED,0
PSCI,377,Politics of Latin America,4.00,,,TERMS-OFFERED,0
PSCI,T380,ST:Pol Thry & Act After Death,0.50 to 12.00,,,TERMS-OFFERED,0
PSCI,T480,"ST: Intro to Sci, Tech & Society",0.50 to 12.00,,,TERMS-OFFERED,0
PSCI,211,American Government II,4.00,PSCI110,,TERMS-OFFERED,0
PSCI,240,Comparative Government,4.00,PSCI140,,TERMS-OFFERED,0
PSCI,331,Environmental Politics,4.00,,,TERMS-OFFERED,0
PSCI,364,Constitutional Law III,4.00,,,TERMS-OFFERED,0
