FIN,301,Introduction to Finance,4.00,STAT201 or STAT205 or STAT261 and ACCT115 or ACCT110 or HRM310,,TERMS-OFFERED,0
FIN,302,Intermediate Corporate Finance,4.00,FIN301 and STAT202 or STAT206,,TERMS-OFFERED,0
FIN,321,Investment Securities & Markets,4.00,FIN301 and STAT202 or STAT206,,TERMS-OFFERED,0
FIN,323,Risk Management,4.00,FIN321 and STAT202 or STAT206,,TERMS-OFFERED,0
FIN,325,Financial Institutions and Markets,4.00,FIN301 and STAT202 or STAT206,,TERMS-OFFERED,0
FIN,335,Entrepreneurial Finance,4.00,FIN301,,TERMS-OFFERED,0
FIN,340,Seminar in Finance,4.00,FIN302 and FIN321 and FIN325,,TERMS-OFFERED,0
FIN,346,Global Financial Management,4.00,FIN301,,TERMS-OFFERED,0
FIN,T480,ST:Mergers & Acquistions,12.00,,,TERMS-OFFERED,0
FIN,601,Corporate Financial Management,3.00,BUSN505 and BUSN506 and BUSN507 and BUSN508 or BUSN501 and BUSN502 and STAT601 or STAT602 or STAT610,,TERMS-OFFERED,0
FIN,650,Derivative Securities,3.00,FIN624,,TERMS-OFFERED,0
FIN,920,Doctoral Seminar in Asset Pricing,3.00,,,TERMS-OFFERED,0
FIN,332,Investment Analysis,4.00,FIN321,,TERMS-OFFERED,0
FIN,338,Money and Capital Markets,4.00,FIN325,,TERMS-OFFERED,0
FIN,342,Advanced Portfolio Management,4.00,FIN341,,TERMS-OFFERED,0
FIN,350,Personal Finance,4.00,,,TERMS-OFFERED,0
FIN,648,International Financial Management,3.00,FIN601,,TERMS-OFFERED,0
FIN,794,Seminar in Investments,3.00,FIN626,,TERMS-OFFERED,0
FIN,T980,ST:Current Issue in  Equity Ma,9.00,,,TERMS-OFFERED,0
